salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,3884428798,,20.0,,HOURLY,USD,BASE_SALARY
3,3884431523,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
8,3884428983,101000.0,,84000.0,YEARLY,USD,BASE_SALARY
10,3884429625,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
15,3884428729,67000.0,,50400.0,YEARLY,USD,BASE_SALARY
16,3884427990,,105000.0,,YEARLY,USD,BASE_SALARY
25,3884431563,55000.0,,45000.0,YEARLY,USD,BASE_SALARY
29,3884430607,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
37,3884425974,,85000.0,,YEARLY,USD,BASE_SALARY
40,3884430583,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
41,3884430608,75000.0,,65000.0,YEARLY,USD,BASE_SALARY
43,3884429657,28.0,,23.0,HOURLY,USD,BASE_SALARY
46,3884431637,75000.0,,50000.0,YEARLY,USD,BASE_SALARY
58,3884429634,115000.0,,95000.0,YEARLY,USD,BASE_SALARY
68,3884430130,35.0,,30.0,HOURLY,USD,BASE_SALARY
70,3884428699,300000.0,,90000.0,YEARLY,USD,BASE_SALARY
79,3884430272,,15.0,,HOURLY,USD,BASE_SALARY
80,3884429653,120000.0,,87000.0,YEARLY,USD,BASE_SALARY
91,3656167404,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
98,3884431614,27.0,,25.0,HOURLY,USD,BASE_SALARY
100,3884429686,69.01,,48.97,HOURLY,USD,BASE_SALARY
109,3884426762,,45.32,,HOURLY,USD,BASE_SALARY
119,3884431554,90000.0,,90000.0,YEARLY,USD,BASE_SALARY
133,3884430726,175000.0,,160000.0,YEARLY,USD,BASE_SALARY
138,3884426999,27.94,,19.55,HOURLY,USD,BASE_SALARY
139,3884429610,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
144,3884429616,4652.0,,3718.0,MONTHLY,USD,BASE_SALARY
148,3884426652,110000.0,,75000.0,YEARLY,USD,BASE_SALARY
150,3884426975,145000.0,,95000.0,YEARLY,USD,BASE_SALARY
153,3884429777,59.86,,35.89,HOURLY,USD,BASE_SALARY
161,3884430601,105000.0,,90000.0,YEARLY,USD,BASE_SALARY
176,3884429703,27.0,,18.5,HOURLY,USD,BASE_SALARY
186,3884429781,76000.0,,71000.0,YEARLY,USD,BASE_SALARY
187,3884430673,106496.0,,65603.2,YEARLY,USD,BASE_SALARY
190,3884430781,35.0,,27.0,HOURLY,USD,BASE_SALARY
195,3884431641,75.0,,70.0,HOURLY,USD,BASE_SALARY
197,3884430616,47.0,,37.0,HOURLY,USD,BASE_SALARY
199,3610032286,130813.0,,1.0,YEARLY,USD,BASE_SALARY
214,3884428994,,150000.0,,YEARLY,USD,BASE_SALARY
217,3884430751,230000.0,,130000.0,YEARLY,USD,BASE_SALARY
218,3884431706,67550.13,,45033.42,YEARLY,USD,BASE_SALARY
226,3884429748,175000.0,,120000.0,YEARLY,USD,BASE_SALARY
243,3884429902,72000.0,,60000.0,YEARLY,USD,BASE_SALARY
244,3871144579,110000.0,,85000.0,YEARLY,USD,BASE_SALARY
248,3884430655,25.0,,22.0,HOURLY,USD,BASE_SALARY
249,3884431654,175000.0,,100000.0,YEARLY,USD,BASE_SALARY
250,3884430605,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
258,3844216662,75000.0,,60000.0,YEARLY,USD,BASE_SALARY
267,3884430432,,17.0,,HOURLY,USD,BASE_SALARY
294,3884430801,35.0,,32.0,HOURLY,USD,BASE_SALARY
302,3884429852,25.0,,24.0,HOURLY,USD,BASE_SALARY
317,3884429788,34.61,,23.07,HOURLY,USD,BASE_SALARY
330,3884431621,90000.0,,75000.0,YEARLY,USD,BASE_SALARY
336,3884430769,30.0,,25.0,HOURLY,USD,BASE_SALARY
339,3846426461,47.0,,40.0,HOURLY,USD,BASE_SALARY
411,3884429705,32.0,,20.15,HOURLY,USD,BASE_SALARY
424,3799458858,60000.0,,50000.0,YEARLY,USD,BASE_SALARY
430,3884430793,90916.8,,77272.0,YEARLY,USD,BASE_SALARY
438,3884431121,23.0,,22.0,HOURLY,USD,BASE_SALARY
465,3884430958,93000.0,,90000.0,YEARLY,USD,BASE_SALARY
477,2957460032,40.0,,25.0,HOURLY,USD,BASE_SALARY
481,3818306840,50000.0,,40000.0,YEARLY,USD,BASE_SALARY
482,3884430789,160000.0,,65000.0,YEARLY,USD,BASE_SALARY
517,3884430700,55000.0,,45000.0,YEARLY,USD,BASE_SALARY
582,3817454364,60000.0,,40000.0,YEARLY,USD,BASE_SALARY
677,3884431578,150000.0,,50000.0,YEARLY,USD,BASE_SALARY
678,3884430611,40.0,,35.0,HOURLY,USD,BASE_SALARY
781,3884430691,20.98,,15.88,HOURLY,USD,BASE_SALARY
786,3884431507,70000.0,,59000.0,YEARLY,USD,BASE_SALARY
796,3884429892,98400.0,,65600.0,YEARLY,USD,BASE_SALARY
865,3849949750,40000.0,,35000.0,YEARLY,USD,BASE_SALARY
883,3845924752,70000.0,,65000.0,YEARLY,USD,BASE_SALARY
974,3835324900,85000.0,,75000.0,YEARLY,USD,BASE_SALARY
1035,3884431058,85000.0,,65000.0,YEARLY,USD,BASE_SALARY
1053,3884430966,41600.0,,29100.0,YEARLY,USD,BASE_SALARY
1119,3840584142,80000.0,,70000.0,YEARLY,USD,BASE_SALARY
1276,3884431728,51.66,,32.64,HOURLY,USD,BASE_SALARY
1310,3884429878,195000.0,,190000.0,YEARLY,USD,BASE_SALARY
1328,3878072014,75.0,,50.0,HOURLY,USD,BASE_SALARY
1370,3787503302,107000.0,,95000.0,YEARLY,USD,BASE_SALARY
1519,3884430690,100000.0,,80000.0,YEARLY,USD,BASE_SALARY
1522,3884427334,85000.0,,70000.0,YEARLY,USD,BASE_SALARY
1526,3884430719,35.0,,25.0,HOURLY,USD,BASE_SALARY
1673,3884430657,24.0,,20.75,HOURLY,USD,BASE_SALARY
1691,3438976411,50000.0,,45000.0,YEARLY,USD,BASE_SALARY
1719,3884430592,8398.0,,6760.0,MONTHLY,USD,BASE_SALARY
1891,3863624365,28.0,,24.0,HOURLY,USD,BASE_SALARY
1937,3564676727,120000.0,,80000.0,YEARLY,USD,BASE_SALARY
2379,3884431709,80000.0,,65000.0,YEARLY,USD,BASE_SALARY
2562,3884431734,55000.0,,45000.0,YEARLY,USD,BASE_SALARY
2629,3874702220,150.0,,60.0,HOURLY,USD,BASE_SALARY
3316,3884431648,125139.74,,110172.96,YEARLY,USD,BASE_SALARY
3328,3869413340,70.0,,60.0,HOURLY,USD,BASE_SALARY
3777,3736994600,130000.0,,75000.0,YEARLY,USD,BASE_SALARY
3778,3778036844,250000.0,,200000.0,YEARLY,USD,BASE_SALARY
3837,3828515870,120000.0,,80000.0,YEARLY,USD,BASE_SALARY
3839,3821047961,90000.0,,80000.0,YEARLY,USD,BASE_SALARY
3851,3699309082,40.0,,20.0,HOURLY,USD,BASE_SALARY
3855,3845877107,23.0,,18.5,HOURLY,USD,BASE_SALARY
3859,3610596223,22.0,,20.0,HOURLY,USD,BASE_SALARY
3901,1448163866,70000.0,,65000.0,YEARLY,USD,BASE_SALARY
3936,606178500,135000.0,,105000.0,YEARLY,USD,BASE_SALARY
3980,112576855,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
3989,3827268681,85000.0,,40000.0,YEARLY,USD,BASE_SALARY
4031,3831919828,400000.0,,200000.0,YEARLY,USD,BASE_SALARY
4039,3867167975,25.0,,20.0,HOURLY,USD,BASE_SALARY
4040,3777765500,5000.0,,2000.0,MONTHLY,USD,BASE_SALARY
4060,2264355,,350.0,,MONTHLY,USD,BASE_SALARY
4071,3766290342,90000.0,,80000.0,YEARLY,USD,BASE_SALARY
4445,3875041552,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
4794,1219205895,140000.0,,120000.0,YEARLY,USD,BASE_SALARY
4803,3678077169,20.0,,15.0,HOURLY,USD,BASE_SALARY
6632,3822583239,100000.0,,80000.0,YEARLY,USD,BASE_SALARY
6742,2914254129,60000.0,,55000.0,YEARLY,USD,BASE_SALARY
6864,3876572082,61000.0,,58000.0,YEARLY,USD,BASE_SALARY
6979,3863869819,,85000.0,,YEARLY,USD,BASE_SALARY
7156,3848960304,350000.0,,150000.0,YEARLY,USD,BASE_SALARY
7277,3855969867,3000.0,,2500.0,MONTHLY,USD,BASE_SALARY
7342,3835806869,200000.0,,150000.0,YEARLY,USD,BASE_SALARY
7447,3841334821,85000.0,,35000.0,YEARLY,USD,BASE_SALARY
7512,3767035869,50.0,,45.0,YEARLY,USD,BASE_SALARY
7606,3883216578,125000.0,,100000.0,YEARLY,USD,BASE_SALARY
7640,95428182,,25.0,,HOURLY,USD,BASE_SALARY
7888,3720682554,100000.0,,50000.0,YEARLY,USD,BASE_SALARY
8059,1829192,50.0,,30.0,HOURLY,USD,BASE_SALARY
8232,3659406780,42000.0,,36000.0,YEARLY,USD,BASE_SALARY
8314,266825034,65000.0,,60000.0,YEARLY,USD,BASE_SALARY
8452,3876469865,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
8563,3843103150,27.0,,25.0,HOURLY,USD,BASE_SALARY
8568,3853386067,50000.0,,35000.0,YEARLY,USD,BASE_SALARY
8609,103254301,300000.0,,60000.0,YEARLY,USD,BASE_SALARY
8659,3868384601,22.0,,18.0,HOURLY,USD,BASE_SALARY
8819,3851131508,,20.0,,HOURLY,USD,BASE_SALARY
8852,3848297827,85000.0,,60000.0,YEARLY,USD,BASE_SALARY
8904,3582587683,40000.0,,30000.0,YEARLY,USD,BASE_SALARY
8948,3769036399,55000.0,,43000.0,YEARLY,USD,BASE_SALARY
8960,3787279047,400000.0,,80000.0,YEARLY,USD,BASE_SALARY
8986,3784021865,80000.0,,60000.0,YEARLY,USD,BASE_SALARY
9088,3836759104,230000.0,,180000.0,YEARLY,USD,BASE_SALARY
9125,3769518300,25.0,,20.0,HOURLY,USD,BASE_SALARY
9186,3882144210,135200.0,,104000.0,YEARLY,USD,BASE_SALARY
9316,3870709286,110000.0,,88000.0,YEARLY,USD,BASE_SALARY
9384,2920450495,75000.0,,55000.0,YEARLY,USD,BASE_SALARY
9443,3848811947,,71288.0,,YEARLY,USD,BASE_SALARY
